id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,population,"time_to_arrest,hours",severity_score,day_or_night
13775743,JJ181813,2025-03-14 23:10:00,055XX S LAWNDALE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,False,True,822,8,23,62,08B,1152654.0,1867463.0,2025,2025-03-22 15:41:01,41.792172355,-87.715781184,"
,  
(41.792172355, -87.715781184)",270000,,10.0,night
13775689,JJ181834,2025-03-14 23:09:00,054XX W WASHINGTON BLVD,460,BATTERY,SIMPLE,STREET,False,False,1522,15,29,25,08B,1139805.0,1900211.0,2025,2025-03-22 15:41:01,41.882281393,-87.76209864,"
,  
(41.882281393, -87.76209864)",330000,,10.0,night
13776138,JJ182522,2025-03-14 23:06:00,011XX W DIVERSEY PKWY,2820,OTHER OFFENSE,TELEPHONE THREAT,GAS STATION,False,False,1933,19,44,6,08A,1168113.0,1918745.0,2025,2025-03-22 15:41:01,41.932575738,-87.657615295,"
,  
(41.932575738, -87.657615295)",480000,,0.0,night
13775700,JJ181814,2025-03-14 23:06:00,028XX N CLYBOURN AVE,041A,BATTERY,AGGRAVATED - HANDGUN,SIDEWALK,False,False,1931,19,32,5,04B,1162340.0,1918779.0,2025,2025-03-22 15:41:01,41.932791929,-87.678829433,"
,  
(41.932791929, -87.678829433)",360000,,10.0,night
13775636,JJ181820,2025-03-14 23:05:00,072XX S MORGAN ST,454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",ALLEY,True,False,733,7,17,68,08B,1170899.0,1856728.0,2025,2025-03-22 15:41:01,41.762335113,-87.649192713,"
,  
(41.762335113, -87.649192713)",210000,184.6002777777778,10.0,night
13775626,JJ181803,2025-03-14 23:03:00,001XX W JACKSON BLVD,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,122,1,34,32,15,1174916.0,1898956.0,2025,2025-03-22 15:41:01,41.878123916,-87.633208786,"
,  
(41.878123916, -87.633208786)",380000,184.63361111111112,0.0,night
13775622,JJ181800,2025-03-14 23:03:00,075XX S LAFAYETTE AVE,460,BATTERY,SIMPLE,CTA BUS,False,False,623,6,6,69,08B,1177142.0,1855093.0,2025,2025-03-22 15:41:01,41.757709956,-87.626360608,"
,  
(41.757709956, -87.626360608)",100000,,10.0,night
13775615,JJ181789,2025-03-14 23:01:00,025XX N KEDZIE BLVD,502P,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,True,False,1413,14,35,22,26,1154615.0,1916523.0,2025,2025-03-22 15:41:01,41.926759606,-87.707278674,"
,  
(41.926759606, -87.707278674)",390000,184.66694444444445,0.0,night
13777138,JJ183589,2025-03-14 23:00:00,001XX W MAPLE ST,760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,False,False,1824,18,27,8,6,1174883.0,1907592.0,2025,2025-03-22 15:41:01,41.901822321,-87.633071176,"
,  
(41.901822321, -87.633071176)",310000,,5.0,night
13775753,JJ181879,2025-03-14 23:00:00,050XX S DREXEL BLVD,820,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,False,False,222,2,4,39,6,1183165.0,1871825.0,2025,2025-03-22 15:41:01,41.803486138,-87.603767011,"
,  
(41.803486138, -87.603767011)",80000,,5.0,night
